Scores will be of the following order :
  Precision  Recall  F-measure
152   0.2708333333333333   0.78   0.4020618556701031
153   0.3333333333333333   0.3   0.3157894736842105
154   0.2866666666666667   0.86   0.43
155   0.26   0.78   0.39
156   0.3333333333333333   1.0   0.5
157   0.28   0.84   0.42
158   0.3333333333333333   1.0   0.5
159   0.3333333333333333   1.0   0.5
160   0.32   0.96   0.4799999999999999
161   0.25333333333333335   0.76   0.38
162   0.32666666666666666   0.98   0.49
163   0.31333333333333335   0.94   0.4699999999999999
164   0.3333333333333333   0.24   0.27906976744186046
165   0.24666666666666667   0.74   0.37
166   0.28735632183908044   0.5   0.36496350364963503
167   0.2845528455284553   0.7   0.40462427745664736
168   0.30666666666666664   0.92   0.4600000000000001
169   0.28   0.84   0.42
170   0.3333333333333333   1.0   0.5
171   0.2976190476190476   0.5   0.3731343283582089
172   0.3   0.9   0.45000000000000007
173   0.32   0.96   0.4799999999999999
174   0.30666666666666664   0.92   0.4600000000000001
175   0.32   0.96   0.4799999999999999
176   0.2733333333333333   0.82   0.41
177   0.3333333333333333   1.0   0.5
178   0.3333333333333333   1.0   0.5
179   0.2866666666666667   0.86   0.43
180   0.3333333333333333   1.0   0.5
181   0.26   0.78   0.39
182   0.3333333333333333   0.14   0.1971830985915493
183   0.3333333333333333   1.0   0.5
184   0.23333333333333334   0.7   0.35
185   0.20666666666666667   0.62   0.31
186   0.27350427350427353   0.64   0.38323353293413176
187   0.23333333333333334   0.7   0.35
188   0.3333333333333333   0.42   0.3716814159292035
189   0.32666666666666666   0.98   0.49
190   0.3   0.9   0.45000000000000007
191   0.29333333333333333   0.88   0.44
192   0.2866666666666667   0.86   0.43
193   0.23333333333333334   0.7   0.35
194   0.26   0.78   0.39
195   0.3333333333333333   1.0   0.5
196   0.3333333333333333   1.0   0.5
197   0.20833333333333334   0.6   0.30927835051546393
198   0.31333333333333335   0.94   0.4699999999999999
199   0.3333333333333333   1.0   0.5
200   0.3333333333333333   1.0   0.5
201   0.26   0.78   0.39
202   0.26666666666666666   0.8   0.4
203   0.3333333333333333   1.0   0.5
204   0.3333333333333333   1.0   0.5

Average values :
0.29718789332786943   0.8393209109730849   0.43353718018258836
Scores will be of the following order :
  Precision  Recall  F-measure
100   0.22   0.44   0.29333333333333333
101   0.22   0.44   0.29333333333333333
102   0.25   0.5   0.3333333333333333
103   0.22   0.44   0.29333333333333333
104   0.215   0.43   0.2866666666666666
105   0.22   0.44   0.29333333333333333
106   0.25   0.5   0.3333333333333333
107   0.245   0.49   0.32666666666666666
108   0.24456521739130435   0.45   0.3169014084507042
109   0.225   0.45   0.3
110   0.25   0.5   0.3333333333333333
111   0.25   0.5   0.3333333333333333
112   0.245   0.49   0.32666666666666666
113   0.245   0.49   0.32666666666666666
114   0.25   0.5   0.3333333333333333
115   0.23   0.46   0.30666666666666664
116   0.245   0.49   0.32666666666666666
117   0.25   0.5   0.3333333333333333
118   0.25   0.5   0.3333333333333333
119   0.25   0.28   0.2641509433962264
120   0.25   0.44   0.31884057971014496
121   0.205   0.41   0.2733333333333333
122   0.25   0.29   0.2685185185185185
123   0.25   0.5   0.3333333333333333
124   0.25   0.5   0.3333333333333333
125   0.25   0.5   0.3333333333333333
126   0.25   0.5   0.3333333333333333
127   0.25   0.5   0.3333333333333333
128   0.205   0.41   0.2733333333333333
129   0.18   0.36   0.23999999999999996
130   0.235   0.47   0.31333333333333335
131   0.235   0.47   0.31333333333333335
132   0.235   0.47   0.31333333333333335
133   0.25   0.5   0.3333333333333333
134   0.225   0.45   0.3
135   0.25   0.5   0.3333333333333333
136   0.25   0.5   0.3333333333333333
137   0.225   0.45   0.3
138   0.215   0.43   0.2866666666666666
139   0.175   0.35   0.23333333333333334
140   0.25   0.5   0.3333333333333333
141   0.24   0.48   0.32
142   0.25   0.5   0.3333333333333333
143   0.235   0.47   0.31333333333333335
144   0.23   0.46   0.30666666666666664
145   0.25   0.5154639175257731   0.33670033670033667
146   0.245   0.49   0.32666666666666666
147   0.22   0.44   0.29333333333333333
148   0.22   0.44   0.29333333333333333
149   0.25   0.2916666666666667   0.2692307692307692
150   0.25   0.5   0.3333333333333333
151   0.23   0.46   0.30666666666666664
152   0.234375   0.45   0.3082191780821918
153   0.25   0.15   0.18749999999999997
154   0.225   0.45   0.3
155   0.22   0.44   0.29333333333333333
156   0.25   0.5   0.3333333333333333
157   0.225   0.45   0.3
158   0.25   0.5   0.3333333333333333
159   0.25   0.5   0.3333333333333333
160   0.25   0.5   0.3333333333333333
161   0.205   0.41   0.2733333333333333
162   0.25   0.5   0.3333333333333333
163   0.245   0.49   0.32666666666666666
164   0.25   0.12   0.16216216216216217
165   0.22   0.44   0.29333333333333333
166   0.2413793103448276   0.28   0.25925925925925924
167   0.22560975609756098   0.37   0.28030303030303033
168   0.23   0.46   0.30666666666666664
169   0.21   0.42   0.27999999999999997
170   0.25   0.5   0.3333333333333333
171   0.23214285714285715   0.26   0.24528301886792453
172   0.25   0.5   0.3333333333333333
173   0.245   0.49   0.32666666666666666
174   0.235   0.47   0.31333333333333335
175   0.24   0.48   0.32
176   0.22   0.44   0.29333333333333333
177   0.25   0.5   0.3333333333333333
178   0.25   0.5   0.3333333333333333
179   0.215   0.43   0.2866666666666666
180   0.25   0.5   0.3333333333333333
181   0.22   0.44   0.29333333333333333
182   0.25   0.07291666666666667   0.11290322580645161
183   0.25   0.5   0.3333333333333333
184   0.23   0.46   0.30666666666666664
185   0.245   0.49   0.32666666666666666
186   0.23717948717948717   0.37   0.2890625
187   0.205   0.41   0.2733333333333333
188   0.25   0.25925925925925924   0.2545454545454545
189   0.25   0.5   0.3333333333333333
190   0.225   0.45   0.3
191   0.225   0.45   0.3
192   0.23   0.46   0.30666666666666664
193   0.2   0.4   0.26666666666666666
194   0.225   0.45   0.3
195   0.25   0.5   0.3333333333333333
196   0.25   0.5   0.3333333333333333
197   0.19791666666666666   0.38   0.26027397260273977
198   0.25   0.5   0.3333333333333333
199   0.25   0.5   0.3333333333333333
200   0.25   0.5   0.3333333333333333
201   0.215   0.43   0.2866666666666666
202   0.235   0.47   0.31333333333333335
203   0.25   0.5   0.3333333333333333
204   0.25   0.5   0.3333333333333333

Average values :
0.23607779328402576   0.4459933953344607   0.30508432721558
Scores will be of the following order :
  Precision  Recall  F-measure
100   0.188   0.31333333333333335   0.235
101   0.192   0.32   0.24
102   0.2   0.3333333333333333   0.25
103   0.188   0.31333333333333335   0.235
104   0.18   0.3   0.225
105   0.184   0.30666666666666664   0.22999999999999998
106   0.2   0.3333333333333333   0.25
107   0.196   0.32666666666666666   0.245
108   0.2   0.30666666666666664   0.24210526315789477
109   0.18   0.3   0.225
110   0.2   0.3333333333333333   0.25
111   0.2   0.3333333333333333   0.25
112   0.196   0.32666666666666666   0.245
113   0.2   0.3333333333333333   0.25
114   0.2   0.3333333333333333   0.25
115   0.188   0.31333333333333335   0.235
116   0.196   0.32666666666666666   0.245
117   0.2   0.3333333333333333   0.25
118   0.2   0.3333333333333333   0.25
119   0.2   0.18666666666666668   0.19310344827586207
120   0.2   0.30344827586206896   0.2410958904109589
121   0.18   0.3   0.225
122   0.2   0.20863309352517986   0.20422535211267606
123   0.2   0.3333333333333333   0.25
124   0.2   0.3333333333333333   0.25
125   0.2   0.3333333333333333   0.25
126   0.2   0.3333333333333333   0.25
127   0.2   0.3333333333333333   0.25
128   0.176   0.29333333333333333   0.21999999999999997
129   0.164   0.2733333333333333   0.205
